product_id,Price (After Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,neg_count,neu_count,pos_count
57110087,249000,13463,4.8,2250,0,43,14,193
55505747,120120,2507,5.0,405,23,0,10,126
52004412,83000,4297,4.8,512,24,14,12,126
48210076,73800,202,5.0,8,30,0,0,13
6313597,80080,491,5.0,37,23,1,0,15
3640421,63000,14744,4.7,962,30,38,21,181
555338,102100,826,3.0,4,40,3,1,1
475974,702000,3554,4.7,314,15,18,6,188
356317,73500,415,4.8,6,25,2,0,6
279094502,144000,8,5.0,1,20,0,0,2
278090771,454200,43,5.0,254,25,5,6,68
276280442,112420,71,4.8,4,23,0,0,1
276274418,93450,27,5.0,3,48,0,0,1
275923489,60000,168,5.0,11,12,0,0,1
274557494,184030,476,5.0,33,23,0,0,7
273691882,110600,169,5.0,6,30,0,0,4
270883256,110600,105,5.0,7,30,0,1,2
263067664,124800,437,4.8,16,26,0,1,1
252040645,90000,25,5.0,3,0,0,0,3
252011898,83160,86,3.0,1,23,1,0,0
200935032,41400,888,5.0,101,0,3,2,23
195881360,129360,217,5.0,18,23,1,0,5
186329455,221000,8,1.0,1,34,1,1,3
181122325,127000,313,5.0,16,14,0,0,2
174440921,218350,185,5.0,12,0,0,0,4
173515991,169700,401,4.8,39,29,3,2,10
172206434,83160,1109,5.0,104,23,1,2,28
170352285,165000,134,5.0,14,25,0,0,5
101548454,206000,183,4.8,35,28,1,2,8
77149795,75800,635,4.7,58,23,4,1,20
76388962,86000,9881,4.8,1862,12,34,36,177
74992393,141400,489,5.0,72,29,3,4,17
74332658,53900,530,4.8,88,23,3,5,30
34709112,110000,205,5.0,17,0,2,3,39
1000276,135500,2390,4.8,103,24,5,4,30
480059,111000,1099,4.6,12,21,1,0,10
474541,10900,1035,5.0,5,27,0,0,4
278968560,162000,12,5.0,1,0,0,0,1
276948023,150000,39,5.0,2,25,0,0,1
276593758,274120,106,5.0,8,23,0,0,3
276376962,106000,286,5.0,12,24,1,0,3
276353077,95200,138,5.0,9,20,0,0,4
275759854,23000,16,3.0,2,0,1,0,0
275148257,175000,27,5.0,5,20,0,0,1
274853710,204000,161,5.0,5,28,0,0,1
273322817,80750,63,4.8,25,5,2,1,6
271312189,150000,179,4.8,13,41,0,0,5
270442400,78400,16,5.0,1,29,0,0,1
270113245,148000,125,4.7,21,24,1,0,4
204810323,195000,159,5.0,15,0,0,0,5
202007364,71000,126,4.7,10,21,0,2,1
200771984,36400,49,5.0,1,30,0,0,1
197656321,83900,194,5.0,6,23,0,0,1
195954729,137000,247,4.7,7,26,1,0,1
195801687,187000,199,4.8,15,17,1,2,1
164336677,36000,139,5.0,17,55,0,0,7
82384950,9900,171,5.0,23,1,0,1,5
74174356,52360,153,4.8,17,23,0,2,3
73687713,74250,350,4.8,60,45,2,3,15
73356673,166600,331,4.7,82,30,3,3,18
57503149,113960,1899,5.0,293,23,8,7,83
41593625,66000,857,5.0,64,30,0,0,19
31587465,243000,230,4.6,24,10,4,2,11
10638286,34000,73,5.0,8,24,0,1,5
1864761,142000,1696,4.8,209,24,7,10,73
1387543,113900,445,4.5,22,21,2,1,12
277400587,1664000,47,5.0,11,20,0,0,5
277138904,221760,192,5.0,8,23,1,0,1
277041576,138000,27,5.0,3,0,0,0,2
275243836,30000,30,5.0,2,21,1,0,1
275023306,69000,38,5.0,3,1,1,0,0
274761877,109000,260,5.0,24,25,0,2,2
